                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6195,                 5.0502,                 4.1036,                0.00054,                0.12446,                0.00056,                0.00013,                 2.3921,                 4.6995,                 4.1288,             0.00026664,             0.00026664,             0.00026664
                      2,                 2.0343,                  4.348,                 3.5895,                0.00048,                0.11576,                0.00074,                0.00017,                 2.3781,                 4.6005,                 4.1165,              0.0004905,              0.0004905,              0.0004905
                      3,                 1.8065,                 3.8271,                 3.1955,                0.00058,                   0.12,                0.00102,                0.00018,                 2.4237,                 4.4978,                 4.1511,             0.00065936,             0.00065936,             0.00065936
                      4,                 1.5666,                  3.348,                 2.8659,                0.00126,                0.11576,                0.00106,                0.00018,                 2.2783,                 4.3635,                 3.9556,             0.00077322,             0.00077322,             0.00077322
                      5,                 1.5302,                 2.9852,                 2.6634,                0.00055,                0.13626,                0.03499,                0.00859,                 2.1113,                 4.7343,                 3.7473,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.4861,                 2.5626,                  2.575,                0.40587,                0.61776,                0.67876,                0.40515,                 1.4628,                 3.0397,                 2.3512,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.4453,                 2.2626,                 2.5324,                0.81042,                0.31783,                0.55566,                0.34048,                 1.4988,                 3.0061,                 2.3061,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.4248,                 2.0938,                 2.4412,                0.61047,                0.80955,                0.86954,                0.58224,                 1.2864,                 2.2988,                 2.1872,             0.00034108,             0.00034108,             0.00034108
                      9,                  1.367,                 1.8854,                 2.3786,                0.76384,                0.92876,                0.98255,                0.63991,                 1.3173,                 1.6913,                 2.1695,             0.00023109,             0.00023109,             0.00023109
                     10,                  1.359,                 1.6893,                 2.3392,                0.98045,                0.94668,                0.99048,                0.66153,                 1.2353,                 1.5002,                  2.132,              0.0001211,              0.0001211,              0.0001211
